Kalınlık;Renk Değer;Kağıt Renk;Pres Plaka Yüzey;Melamin Pres Hatları;Max üst yoğ.kg/m3;Min. Orta. Kg/m3;Max alt yoğ.kg/m3;Üre Jel Süresi (Emprenye);Melamin Jel Süresi (Ceketleme);Sağ (%Reçine);Sağ (%Nem);Orta (%Reçine);Orta (%Nem);Sol (%Reçine);Sol (%Nem);Plaka Sıcaklıkları Min;Plaka Sıcaklıkları Max;Özgül Basınç Min;Özgül Basınç Max;Anlık Duruş;Ölü Zaman Minimum;Ölü Zaman Maximum;Presleme Süresi Min;Presleme Süresi Max
18;191;KAPLAN;GÖLGE;M16;898,5;565,4;967;4,14;7;62,82;6,618;63,68;5,45;64;6,4;154,8;180,4;24,18;47,96;58,53;12,2;21,54;28,51;35,43
18;191;KAPLAN;GÖLGE;M17;920,9;554,1;993,3;5,25;5,4;65,97;6,579;65,13;7,22;65,8;6,6;143,4;199,7;20,18;59,46;59,1;12,3;22,56;23,33;38,05
18;191;KAPLAN;GÖLGE;M15;880,1;574,2;1021,5;3,59;5,62;65,54;6,405;65,06;6,22;64,3;6,8;167,2;186,2;26,05;49,31;54,67;13,11;22,15;25,58;35,01
18;191;KAPLAN;GÖLGE;M6;1010,6;527,2;879,9;4,54;5,44;62,01;7,517;65,86;5,48;64,8;6,7;142,7;216,1;25,28;54,18;57,59;12,39;22,24;22,63;31,13
18;191;KAPLAN;GÖLGE;M9;874,1;518,8;997,1;2,66;7,29;62,31;7,059;65,9;5,59;65,9;6,6;145,1;182,2;25,01;49,54;45,83;14,6;22,47;21,5;36,18
18;191;KAPLAN;GÖLGE;M3;875,9;522,2;1014,4;5,18;3,27;63,32;6,74;66;7,72;63,9;6,9;160;151,4;22,39;34,07;54,62;14,92;22,74;22,11;38,74
18;191;KAPLAN;GÖLGE;M4;929,2;586,8;877,6;2,46;7,99;63,85;6,987;62,13;5,86;65,6;6,9;158,4;209,9;26,7;42,69;52,46;12,21;21,31;26,94;33,25
18;191;KAPLAN;GÖLGE;M14;918,3;563,3;1019,5;4,7;7,66;63,07;6,793;62,1;5,68;64;6;174,4;214,4;20,68;38,26;45,17;13,65;21,06;21,45;34,03
18;191;KAPLAN;GÖLGE;M1;1006,8;502,2;1019,7;5,36;6,56;66,01;7,096;65,72;6,9;64,8;6;175,5;178,7;21,06;41,15;54,93;13,3;21,37;23,76;37,62
18;191;KAPLAN;GÖLGE;M2;870,9;540,4;947,1;5,13;3,05;64,74;6,788;64,76;7,9;63,3;6,8;169;186,9;22,39;54,39;56,57;12,98;21,75;25,81;34,55
