melamin_hatti,n_test,y_true_mean,y_true_std,y_true_min,y_true_max,pred_mean,mae,p90_abs_err
M2,39,25.263846153846153,2.9078211204678754,20.49,29.96,25.303355141779935,2.3412371730371078,4.080840104303115
M13,37,25.436756756756758,2.9524722156314973,20.36,29.9,25.253928663202323,2.5627043847601563,4.579511834561401
M7,36,24.924722222222222,2.807130292379579,20.06,29.66,25.23837597031779,2.4919104325835577,4.454361966450424
M12,26,25.665384615384617,2.7670050884961004,20.86,29.55,25.38553807189914,2.274532187027554,3.979418874522528
M17,7,23.488571428571426,2.8796201563570785,20.37,28.01,25.286336101350294,3.075095249714109,4.848705267857838
M6,6,24.638333333333335,2.6449285854673326,20.6,27.6,25.475005578946735,2.2095372359132983,3.738764112514872
M16,6,26.804999999999996,2.4920456790891032,21.97,29.76,25.275585543220014,2.672352693756476,3.974864749533632
M14,5,23.688,0.6143419243385557,22.68,24.47,25.353839350690148,1.6658393506901503,2.3648337116126514
M5,5,24.85,2.7138533490223815,21.67,29.63,25.26812389331519,2.266323319757274,3.8401770652666256
M4,5,25.107999999999997,2.8283450991701846,21.74,28.07,25.241213140385476,2.479026353726251,3.291393118746245
M11,5,23.29,2.575802787481992,20.31,27.79,24.93496959888123,2.756475111635017,4.059871118431786
M1,5,24.276,3.1529770059421627,20.9,29.71,25.03689784613126,2.8446991798822134,4.549668669041569
M8,4,24.060000000000002,2.5324790226179568,20.68,26.69,25.059101187165243,2.4737002422368093,3.8875472388312327
M9,4,26.2275,2.968293912334154,21.85,29.84,25.08004927757195,2.535843301395973,4.464849858226757
M10,4,24.77,3.0593708503546932,21.56,29.79,25.37093815617438,2.545704551549914,3.8389703255556027
M3,3,25.27333333333333,2.544305187843803,22.11,28.34,25.09391863781025,2.019556974263628,3.1369905889020706
M15,3,25.103333333333335,2.8926381653355056,21.4,28.46,24.912336249040678,2.0896633474246116,3.2155618996034456
