melamin_hatti,n_line,feature,base_pred,p10_value,p10_pred,p10_delta,p90_value,p90_pred,p90_delta,swing_p90_minus_p10
M2,181,ozgul_basinc_max,24.70797871337795,34.16,25.114321993991794,0.40634328061384295,62.74,24.330955226927674,-0.37702348645027683,-0.7833667670641198
M2,181,ozgul_basinc_min,24.70797871337795,21.46,24.588427083008714,-0.11955163036923722,28.42,24.781154680800164,0.07317596742221255,0.19272759779144977
M2,181,olu_zaman_max,24.70797871337795,21.19,25.476575203902527,0.7685964905245761,22.86,24.5160717750849,-0.1919069382930516,-0.9605034288176277
M2,181,ure_jel_suresi,24.70797871337795,2.67,24.521196572691956,-0.1867821406859953,5.28,24.795586968914773,0.08760825553682139,0.2743903962228167
M2,181,kagit_sag_recine,24.70797871337795,62.54,24.827340684856974,0.11936197147902305,66.06,24.70797871337795,0.0,-0.11936197147902305
M2,181,kagit_sol_recine,24.70797871337795,63.3,24.934671601213093,0.2266928878351422,65.7,25.1908727660971,0.48289405271914987,0.2562011648840077
M2,181,kagit_sag_nem,24.70797871337795,6.539,25.104064226833405,0.3960855134554535,7.727,24.6057803691659,-0.1021983442120522,-0.4982838576675057
M2,181,kagit_sol_nem,24.70797871337795,6.0,24.81494307300747,0.10696435962951867,6.9,24.684738496443693,-0.023240216934258484,-0.13020457656377715
M2,181,plaka_sicakliklari_max,24.70797871337795,156.8,24.70797871337795,0.0,211.4,24.70797871337795,0.0,0.0
M2,181,plaka_sicakliklari_min,24.70797871337795,145.3,24.64151689874255,-0.06646181463539946,184.4,24.883074127203063,0.17509541382511173,0.2415572284605112
M2,181,max_ust_yogunluk,24.70797871337795,880.2,24.70797871337795,0.0,1001.2,24.873947472489608,0.16596875911165654,0.16596875911165654
M2,181,max_alt_yogunluk,24.70797871337795,886.4,25.243853147843506,0.5358744344655548,1009.7,24.945676412662266,0.23769769928431472,-0.2981767351812401
M12,180,ozgul_basinc_max,25.322660291215353,33.324000000000005,25.114321993991794,-0.208338297223559,60.125,24.06822385117894,-1.2544364400364145,-1.0460981428128555
M12,180,ozgul_basinc_min,25.322660291215353,21.008000000000003,24.952011262848156,-0.3706490283671968,28.752,25.395836258637566,0.07317596742221255,0.44382499578940937
M12,180,olu_zaman_max,25.322660291215353,21.167,25.3802959478709,0.057635656655545375,22.753,24.92991755130455,-0.3927427399108048,-0.45037839656635015
M12,180,ure_jel_suresi,25.322660291215353,2.7140000000000004,25.135878150529358,-0.1867821406859953,5.22,25.0167310765082,-0.3059292147071524,-0.1191470740211571
M12,180,kagit_sag_recine,25.322660291215353,62.268,25.442022262694376,0.11936197147902305,66.226,25.27478694706687,-0.047873344148484875,-0.16723531562750793
M12,180,kagit_sol_recine,25.322660291215353,63.2,25.549353179050495,0.2266928878351422,65.7,25.77727979766985,0.45461950645449534,0.22792661861935315
M12,180,kagit_sag_nem,25.322660291215353,6.5264,25.63765210330404,0.3149918120886852,7.7665,25.2204619470033,-0.1021983442120522,-0.4171901563007374
M12,180,kagit_sol_nem,25.322660291215353,6.1,25.328416630864556,0.005756339649202857,6.91,25.299420074281095,-0.023240216934258484,-0.02899655658346134
M12,180,plaka_sicakliklari_max,25.322660291215353,157.38,25.322660291215353,0.0,214.16,25.322660291215353,0.0,0.0
