kind,scenario,feature,quantile,value,pred,delta,base_pred
single,kagit_sag_recine_p10,kagit_sag_recine,0.1,62.45,25.442022262694376,0.11936197147902305,25.322660291215353
single,kagit_sag_recine_p50,kagit_sag_recine,0.5,64.15,25.322660291215353,0.0,25.322660291215353
single,kagit_sag_recine_p90,kagit_sag_recine,0.9,66.211,25.27478694706687,-0.047873344148484875,25.322660291215353
single,kagit_sol_recine_p10,kagit_sol_recine,0.1,63.2,25.549353179050495,0.2266928878351422,25.322660291215353
single,kagit_sol_recine_p50,kagit_sol_recine,0.5,64.4,25.322660291215353,0.0,25.322660291215353
single,kagit_sol_recine_p90,kagit_sol_recine,0.9,65.7,25.77727979766985,0.45461950645449534,25.322660291215353
single,kagit_sag_nem_p10,kagit_sag_nem,0.1,6.5246,25.63765210330404,0.3149918120886852,25.322660291215353
single,kagit_sag_nem_p50,kagit_sag_nem,0.5,7.156,25.322660291215353,0.0,25.322660291215353
single,kagit_sag_nem_p90,kagit_sag_nem,0.9,7.7578,25.2204619470033,-0.1021983442120522,25.322660291215353
single,kagit_sol_nem_p10,kagit_sol_nem,0.1,6.1,25.429624650844872,0.10696435962951867,25.322660291215353
single,kagit_sol_nem_p50,kagit_sol_nem,0.5,6.5,25.322660291215353,0.0,25.322660291215353
single,kagit_sol_nem_p90,kagit_sol_nem,0.9,6.9,25.299420074281095,-0.023240216934258484,25.322660291215353
single,ure_jel_suresi_p10,ure_jel_suresi,0.1,2.7,25.135878150529358,-0.1867821406859953,25.322660291215353
single,ure_jel_suresi_p50,ure_jel_suresi,0.5,3.9850000000000003,25.322660291215353,0.0,25.322660291215353
single,ure_jel_suresi_p90,ure_jel_suresi,0.9,5.2010000000000005,25.0167310765082,-0.3059292147071524,25.322660291215353
single,olu_zaman_max_p10,olu_zaman_max,0.1,21.16,25.3802959478709,0.057635656655545375,25.322660291215353
single,olu_zaman_max_p50,olu_zaman_max,0.5,21.99,25.322660291215353,0.0,25.322660291215353
single,olu_zaman_max_p90,olu_zaman_max,0.9,22.78,24.92991755130455,-0.3927427399108048,25.322660291215353
single,ozgul_basinc_max_p10,ozgul_basinc_max,0.1,33.458,25.114321993991794,-0.208338297223559,25.322660291215353
single,ozgul_basinc_max_p50,ozgul_basinc_max,0.5,47.675,25.322660291215353,0.0,25.322660291215353
single,ozgul_basinc_max_p90,ozgul_basinc_max,0.9,61.46,24.330955226927674,-0.9917050642876788,25.322660291215353
single,ozgul_basinc_min_p10,ozgul_basinc_min,0.1,21.03,24.952011262848156,-0.3706490283671968,25.322660291215353
single,ozgul_basinc_min_p50,ozgul_basinc_min,0.5,25.259999999999998,25.322660291215353,0.0,25.322660291215353
single,ozgul_basinc_min_p90,ozgul_basinc_min,0.9,28.77,25.395836258637566,0.07317596742221255,25.322660291215353
single,plaka_sicakliklari_max_p10,plaka_sicakliklari_max,0.1,156.89000000000001,25.322660291215353,0.0,25.322660291215353
single,plaka_sicakliklari_max_p50,plaka_sicakliklari_max,0.5,185.55,25.322660291215353,0.0,25.322660291215353
single,plaka_sicakliklari_max_p90,plaka_sicakliklari_max,0.9,213.7,25.322660291215353,0.0,25.322660291215353
single,plaka_sicakliklari_min_p10,plaka_sicakliklari_min,0.1,145.2,25.256198476579954,-0.06646181463539946,25.322660291215353
single,plaka_sicakliklari_min_p50,plaka_sicakliklari_min,0.5,164.85000000000002,25.322660291215353,0.0,25.322660291215353
single,plaka_sicakliklari_min_p90,plaka_sicakliklari_min,0.9,184.22,25.322660291215353,0.0,25.322660291215353
single,max_ust_yogunluk_p10,max_ust_yogunluk,0.1,882.48,25.322660291215353,0.0,25.322660291215353
single,max_ust_yogunluk_p50,max_ust_yogunluk,0.5,944.3499999999999,25.322660291215353,0.0,25.322660291215353
single,max_ust_yogunluk_p90,max_ust_yogunluk,0.9,1004.4,25.756393825174644,0.43373353395929115,25.322660291215353
single,max_alt_yogunluk_p10,max_alt_yogunluk,0.1,885.6800000000001,25.841367356540694,0.5187070653253407,25.322660291215353
single,max_alt_yogunluk_p50,max_alt_yogunluk,0.5,952.3499999999999,25.322660291215353,0.0,25.322660291215353
single,max_alt_yogunluk_p90,max_alt_yogunluk,0.9,1013.1,25.436584333974157,0.11392404275880352,25.322660291215353
combined,SAG_recine_high_nem_low,kagit_sag_recine+kagit_sag_nem,,,25.589778759155553,0.26711846794020033,25.322660291215353
combined,SAG_recine_low_nem_high,kagit_sag_recine+kagit_sag_nem,,,25.339823918482324,0.01716362726697085,25.322660291215353
combined,BasincMax_high_PlakaMax_high,ozgul_basinc_max+plaka_sicakliklari_max,,,24.330955226927674,-0.9917050642876788,25.322660291215353
combined,BasincMax_low_PlakaMax_low,ozgul_basinc_max+plaka_sicakliklari_max,,,25.114321993991794,-0.208338297223559,25.322660291215353
